관리코드,상품명,규격
290-89-10-10,꽃샘/한라봉차,1kg*8ea
290-89-10-09,꽃샘/청귤차,1kg*8ea
290-89-10-08,꽃샘/꿀레드자몽,1Kg*8ea
290-89-10-07,꽃샘/유자차,1Kg*8ea
290-89-10-06,꽃샘/생강차,1kg*8ea
290-89-10-05,꽃샘/사과차,1Kg*8ea
290-89-10-04,꽃샘/모과차,1kg*8ea
290-89-10-03,꽃샘/매실차,1kg*8ea
290-89-10-02,꽃샘/레몬차,1Kg*8ea
290-89-10-01,꽃샘/대추차,1kg*8ea
290-288-20-01,꽃샘/꿀유자차S/2kg,2kg*6ea
289-318-10-01,네오스/고구마무스/냉동*1kg*10,1kg
288-286-10-04,+뉴뜨레/냉동블루베리IQF,1Kg*12ea
288-286-10-03,+뉴뜨레/냉동무가당(홀)딸기12입,1kg*12ea
288-286-10-02,뉴뜨레/냉동가당딸기(중국),1kg*15ea
288-286-10-01,뉴뜨레/냉동가당딸기(국산)80%,1kg*15ea
288-285-10-01,+뉴뜨레/냉동망고(베트남)-우양,1kg*10ea
288-267-10-01,+뉴뜨레/무가당딸기(홀)/중국산,1kg*12
288-155-10-01,+뉴뜨레/애플망고/1kg,1kg*12ea
27-82-10-02,+삼도/해울찬(홍)/초생강(면세),1.3kg*10
27-82-10-01,+삼도/해울찬(백)/초생강(면세),1.3kg*10
277-315-30-01,늘푸른/썬고추/3kg,3kg*2
277-15-30-02,+늘푸른/오이피클(홀)(면세),3kg*6
277-15-30-01,+늘푸른/오이피클(렐리쉬)(면세),3kg*6
277-15-200-01,+늘푸른/피클렐리쉬20k(면세),20kg*box
277-12-30-01,+늘푸른/할라피뇨(면세),3kg*6
276-290-10-05,+다들림/들깨가루(거친)/1kg*10,1kg(거친)
276-290-10-04,+다들림/박피들깨(기피)/1kg*10,1kg(기피)
276-290-10-03,+다들림/청정들/참깨/홀/1kg,1kg*10
276-290-10-02,+다들림/청정들/흑깨분,1Kg*10
276-290-10-01,+다들림/청정들/흑깨,1Kg*10
275-300-01-01,다빈치/소스펌프/정품,30ml
274-245-10-01,다인/산농/맛기름/1.8L,1.8L*10
27-40-05-01,삼도/튀긴마늘후레이크,500g*12
273-326-200-01,대명/감자전분/20kg,20kg
27-328-05-03,+삼도/가스오부시/B급/500g,500g*10ea
27-328-05-02,+삼도/하나가스오부시/A급,500g*4
27-328-05-01,+삼도/이도가스오부시/500g,500g*4
27-315-40-01,*삼도/해울찬/산고추/4kg,4kg*4
27-315-05-01,+삼도(해울)/산고추(면세),500g*20
27-310-10-01,델몬트/망고쥬스/1.5L,1.5L*6
27-261-30-02,삼도/프리미엄/락교/sss,3kg*6
27-261-30-01,삼도/프리미엄/락교/ss,3kg*6
272-271-10-02,대왕/된장/은화//적/아와세,1kg*10
272-271-10-01,대왕/된장(고시고지)은화/백색,1kg*10
272-270-09-01,대왕/참깨드레싱900ml,900ml*15
272-127-08-01,대왕/하나/우골농축액,840g*12
27-156-09-02,립톤(레몬)/907g,907g*12
27-156-09-01,립톤(복숭아)/907g,907g*12
27-156-01-01,립톤/아이스티(복숭아),32oz*12
271-34-05-02,대한제당/호니베어블루베리,595g*12
271-34-05-01,대한제당/체리베리,595g*12
271-23-200-01,대한제당/함수포도당(CN/DADI),20kg
271-193-30-02,대한제당/황설탕3kg,3kg*8
271-193-30-01,대한제당/백설탕3kg,3kg*8
271-193-150-01,대한제당/설탕/15kg/정백당,15kg*1
271-159-10-01,+대한제당/아몬드(슬)/kg,1kg*10
270-177-05-01,대한제분/펜네/,500g*20
270-175-05-04,대한제분/스파게티/보가사리,500g*20
270-175-05-03,대한제분/스파게티/라폰테,500g*20
270-175-05-02,대한제분/마카로니/보가사리,500g*20
270-175-05-01,대한제분/마카로니/라폰테,500g*20
269-98-04-01,대화/하하/두반장/12입,450g*12
269-150-02-01,대화/양장피채,200g*30
268-292-10-01,더조은/김가루,1Kg*4
267-50-10-01,데빅/휘핑크림/듀오휩/1L,1L*6
266-42-20-01,데체코/롱고바디/토마토홀,2.55kg*6
266-177-10-03,데체코/스파게티니/11번/(가늘다,1kg*12
266-177-10-02,데체코/스파게티12번/(굵다),1kg*12
266-177-10-01,데체코/링기니(7번)/1Kg,1kg*12
266-177-06-01,데체코/메크레마콘타르투포,660g*6
266-177-05-07,데체코/파케리/500g,500g*12
266-177-05-06,데체코/페투칠레,500g*24
266-177-05-05,데체코/카사레치아,500g*24
266-177-05-04,데체코/리가토니,500g*24
266-177-05-03,데체코/라자냐,500g*24
266-177-05-02,데체코/까펠리니/500g/9번,500g*24
266-177-05-01,데체코/파파델리,500g*8
265-12-30-01,델솔 할라피뇨 슬라이스,3kg*6
264-276-10-01,씨엘 동경단무지(슬),1kg*10
263-177-05-08,동남/산타루치아/스파게티,500g*24
263-177-05-01,동남/파르팔레/리본/500g,500g*24
262-125-02-01,동성식품(사누끼우동면),230g*5=8입
261-288-10-01,+두레원/사양벌꿀/1kg,1kg*12ea
260-168-180-01,디딤돌/식용유/18L,18L
259-85-30-01,+뚜레반/찹쌀가루/3kg/국산,3kg*4
259-85-10-01,+뚜레반/찹쌀가루/국산,1kg*10
259-55-10-02,뚜레반/콩가루/볶음/1kg,1kg*10
259-55-10-01,+뚜레반/날콩가루1kg,1kg*10
259-326-30-01,뚜레반/감자전분(수입)/3kg,3kg*4
259-326-10-01,뚜레반/감자전분/국산100%/1kg,1kg*10
259-278-10-01,뚜레반/뉴슈가/1kg,1kg*10
259-229-10-01,뚜레반/미숫가루/17곡/1kg,1kg*12ea
259-223-200-01,뚜레반/메밀가루/20kg,20kg
259-165-10-01,+뚜레반/쌀가루,1kg*10
259-145-10-01,뚜레반/엿기름가루(복합),1kg*10
259-139-30-01,뚜레반/옥수수전분/3kg,3kg*4
259-139-10-01,뚜레반/옥수수전분 1kg,1kg*10
258-54-05-01,라코스테냐/홀 핀토빈스 560g,560g*12
258-295-20-01,라코스테냐/그린토마틸로,2.8k*6
258-28-20-01,라코스테냐/치포틀레페퍼/2.8Kg,2.8kg*6
257-147-10-01,런던브릭스/청포도에이드,1.5L*6
256-159-10-01,+로럭스/아몬드파우더(분말),1kg*10
255-177-05-01,로리/스파게티,500g*24
254-84-05-01,리고/체리가루,539g*12
254-300-01-01,리고/핫소스/수입(미국),177ml*24
254-257-05-01,리고/레몬가루/국내산,530g*12
254-256-09-01,리고/레몬쥬스/엘막/946ml,946ml*12
254-215-05-01,리고/복숭아가루/국내산,530g*12
254-173-01-02,리고/쵸코시럽,20oz*12
254-173-01-01,리고/딸기시럽,20oz*12
254-147-09-01,리고/오렌지마말에이드/폴란드산,907g*6
254-110-10-01,리고/땅콩버터/1kg,1kg*6
254-110-05-02,리고/땅콩잼(파랑크리미)/510g,510g*12
254-110-05-01,리고/땅콩잼(빨강크런키)/510g,510g*12
254-110-04-01,리고/땅콩잼(미국)청키,462g*12
253-78-30-01,리코스나초치즈/파우치/3.11kg,3.11kg*4
253-300-30-02,리코스/나초치즈소스/3.033kg,3.033kg*6
253-300-30-01,리코스/살사소스,3.74kg*4
253-287-04-01,리코스/나초칩/454g,454g*12
252-41-2000-01,마르게리타/다이스토마토/210KG,210Kg*1ea
252-41-100-01,마르게리타/다이스토마토/10kg,10kg*1ea
25-210-200-01,+매일/전지분유/20kg,20kg*1
251-327-130-02,+마산/순간장/13L,13L*1
251-327-130-01,+마산/몽고진간장,13l*1
250-214-10-02,마제스티/부대햄/A급/6입,1.81kg*6
250-214-10-01,마제스티/부대햄/B급,1.8kg*6
249-92-20-01,맛찬들 쫄면/냉동,2kg*10
248-223-200-01,+맥선/박력밀가루/다목적A/20kg,20kg
24-78-20-01,동서/크림치즈,2kg*8
247-237-02-01,면메이트/280g*30,280g*30ea
246-95-10-01,+명진/짜사이채/1kg/코끼리,1kg*20
246-95-05-01,+명진/짜사이/코끼리,500g*40
246-307-01-01,명진/금가루/0.3g*10/국산,0.3g*10
246-306-30-01,명진/밀감1호/코끼리,3kg*6
24-63-05-01,맥스웰/화인커피분말,500g*12ea
24-63-01-01,맥심/모카골드/210T+10T,210T+10T*4
246-279-02-01,명진/누룽지/코끼리,284g*36
246-219-30-03,명진/표고버섯(홀)/코끼리,3kg*6
246-219-30-02,명진/표고버섯(채)/코끼리,3kg*6
246-219-30-01,명진/초고버섯(대)/코끼리,3kg*6
246-219-04-01,명진/초고버섯/코끼리,400g*24
246-186-01-01,명진/송화단,60g*10ea(16곽)
246-171-02-01,명진/시치미/240g*50,240g*50
246-151-30-02,명진/양송이특편,3kg*6
246-151-30-01,명진/양송이(홀)/코끼리,3kg*6
246-151-20-01,명진/양송이(슬)/코끼리,2.84K*6
246-150-04-02,명진/양장피/수제작업/코끼리,400g*20
246-150-04-01,명진/양장피/기계작업/코끼리,400g/곽*20
246-138-04-01,명진/영콘,400g*24
246-108-20-01,명진/적체리(大)중국,2kg*6
246-108-10-01,명진/적체리(꼭지)/대,1988g*6
246-108-04-02,명진/적체리(소)/중국,400g*12
246-108-04-01,명진/적체리(小)꼭지/중국,400g*12
246-100-30-04,명진/동죽순/코끼리,3kg*6
246-100-30-03,명진/죽순(채)/코끼리,3kg*6
246-100-30-02,명진/죽순(편)/코끼리,3kg*6
246-100-30-01,명진/죽순홀/코끼리,3kg*6
246-06-10-01,명진/혼다시/다시노모도(계성),1kg*10
245-327-10-01,+모노/사시미타마리간장(면세),1.8L*6
24-53-08-01,동서/초코쿠키(파우더)800g,800g*10ea
244-89-07-01,모닌/엘더플라워,700ml*6ea
244-173-10-12,모닌/자몽(핑크그레이프)시럽/1L,1L*6
244-173-10-11,모닌/오렌지시럽,1L*6
244-173-10-10,모닌/헤이즐넛시럽,1L*6EA
244-173-10-09,모닌/패션후르트시럽,1L*6ea
244-173-10-08,모닌/카라멜시럽,1L*6EA
244-173-10-07,모닌/초콜렛시럽,1L*6EA
244-173-10-06,모닌/스위트앤샤워시럽,1L*6ea
244-173-10-05,모닌/블루큐라소시럽/1L,1L*6ea
244-173-10-04,모닌/바닐라시럽,1L*6EA
244-173-10-03,모닌/모히또시럽,1L*6EA
244-173-10-02,모닌/레몬시럽,1L*6EA
244-173-10-01,모닌/그린애플시럽,1L*6EA
244-173-07-01,모닌/라임시럽,700ml*6
243-73-30-02,몬/똠양꿍/칠리페이스트/3kg,3kg*6
243-73-30-01,몬/볶음/칠리페이스트/3Kg,3kg*6
243-73-04-02,몬/칠리페이스트/똠양/454g,454g*12
243-73-04-01,몬/칠리페이스트/볶음/수리/454g,454g*12
243-64-04-03,몬/수리옐로우커리페이스트/400g,400g*24
243-64-04-02,몬/수리레드커리페이스트,400g*24
243-64-04-01,몬/수리 그린커리페이스트,400g*24
243-58-20-01,몬/코코넛밀크/2.9L,2.9L*6
243-58-04-01,몬/코코넛밀크,400ml*24
243-50-05-02,몬/발사믹크림/A급,500ml*6
243-50-05-01,몬/발사믹크림/B급,500ml*6
243-304-04-01,몬/홍콩면 에그누들454g,454g*24
243-304-02-02,몬/멍빈누들(대,200g*50
243-304-02-01,몬/버미셀리,250g*24
243-300-50-05,몬/Squid휘시소스,4.5L*3
243-300-50-04,몬/피넛월남쌈소스/4.8L,4.5L*3
243-300-50-03,몬/블랙빈소스5L/수리,5L*4
243-300-50-02,몬/스위트칠리소스(5ℓ),5L*4
243-300-50-01,몬/팟타이소스/5L,5L*4ea
243-300-20-01,몬/월남쌈소스/2L,2.32kg*6
243-300-04-01,몬/호이신소스(해선장)/튜브,435ml*12
243-300-03-02,몬/Squid휘시소스/300ml,300ml*12
243-300-03-01,몬/칠리샤브수끼소스/300ml,300ml*12
243-300-02-12,몬/쌀국수칠리소스,230g*12
243-300-02-11,몬/월남쌈소스/230G,230g*12
243-300-02-10,몬/피넛월남쌈소스,230g*12
243-300-02-09,몬/해선장소스(소)/호이신,260g*12
243-300-02-08,몬/볶음/쌀국수소스/295ml,295ml*12
243-300-02-07,몬/블랙빈소스295ml/수리,295ml*12
243-300-02-06,몬/수리휘시소스,295ml*12
243-300-02-05,몬/스위트칠리소스(295ml),295ml*12
243-300-02-04,몬/씨푸드망고칠리소스,295ml*12
243-300-02-03,몬/월남쌈소스/295ml/몬,295ml*12
243-300-02-02,몬/파인애플 월남쌈소스/,295ml*12
243-300-02-01,몬/팟타이소스/295ml,295ml*12
243-294-02-02,몬/타마린/227g,227g*100
243-294-02-01,몬/비프스파이스믹스/228g,228g*12
243-294-01-01,몬/isfi/시나몬파우더,40g*24ea
243-28-01-01,+몬/isfi핑크페퍼홀/80g,80g*12
243-242-05-01,몬/망고(슬),565g*24
243-238-50-02,몬/르네 디존머스타드,5kg*2
243-238-50-01,몬/르네 홀그레인머스타드/5L*2,5L*2
243-238-08-02,몬/홀그레인머스타드,820g*6
243-238-08-01,몬/디존머스타드,850g*6
243-238-01-01,몬/홀그레인머스타드(소),190g*12
243-224-30-01,몬/민트젤리/3Kg,3kg*6
243-224-02-01,몬/민트젤리,290g*6
243-180-20-01,몬/스위트칠리/2L,2.38kg*6
243-180-04-01,몬/스위트칠리/435ml,435ml*12
243-180-02-01,몬/스위트칠리 240g,240g*12
243-167-05-03,몬/와인식초(화이트),500ml*12
243-167-05-02,몬/와인식초(레드),500ml*12
243-167-05-01,몬/발사믹식초500ml,500ml*12
243-164-04-02,몬/쌀국수5mm/스틱,400g*30
243-164-04-01,몬/쌀국수3mm/스틱,400g*30
243-164-02-04,몬/쌀국수5mm,250g*24
243-164-02-03,몬/쌀국수3mm,250g*24
243-164-02-02,몬/쌀국수1mm,250g*24
243-164-02-01,몬/쌀국수10mm,250g*24
243-163-50-01,몬/쌀국수장국4.5kg/몬,4.5kg*3
243-163-02-01,몬/쌀국수장국/220g,220g*12
243-160-50-01,몬/쓰리라차5L,5L*4
243-160-04-01,몬/쓰리라차(튜브)칠리,435ml*12
243-160-02-02,몬/쓰리라차칠리,295g*12
243-160-02-01,몬/화끈하게매운/쓰리라차,295ml*12
243-15-02-02,몬/레드칠리피클/수리/227g,227g*24
243-15-02-01,몬/그린칠리피클/수리/227g,227g*24
243-120-05-01,몬/뉴월남쌈/짜조피/22cm/원형,500g*24
243-120-03-03,몬/뉴월남쌈(원형16cm),300g*24
243-120-03-02,몬/월남쌈(사각)/16cm/300g,300g*24
243-120-03-01,"몬/뉴월남쌈(원형,18cm",300g*24ea
243-120-01-01,몬/월남쌈(원형16cm)/100g,100g*48
243-106-01-01,몬/ISFI/정향,30g*24
242-327-130-03,+몽고국간장(13L)/부천(면세),13L
242-327-130-02,+몽고죽품간장/부천(면세,13L
242-327-130-01,+부천 몽고진간장(13L),13L*1
242-327-10-01,+몽고간장(1.8L)/부천(면세),1.8L*8
24-173-10-01,동서/슈가시럽,1.5ㅣ*6
24-15-30-01,+동서/오이피클/리치스(면세),3kg*6
241-134-50-01,파티니 올리브오일퍼머스,5L*4
240-300-20-01,미담채/일식돈까스소스/2kg,2kg*8ea
240-172-05-01,미담채/크림버터마늘맛시즈닝,500g*10
239-294-05-01,미시시피/바베큐/오리지널/510g,510g*6
238-135-09-01,미치오/시실리/그린올리브,900g*9
237-227-200-01,미풍/25(K),25K
236-322-10-01,믹스넛/안주마을,1.5Kg*6
235-124-10-01,+밀키스마/멸균유,1L*12
234-107-10-01,백화수복/정종,1.8L*8
233-177-05-01,버락/스파게티,500g*20
232-61-09-01,+베스트/케이퍼(면세),960g*6
231-50-10-01,베스트로/민락골드/휘핑크림,1L*12
230-38-01-01,베티나르디/페파민트삼각티백,30T/B*20EA
229-326-05-01,별미/감자전분/98%,500g*30
229-313-170-01,+별미/국화고추장(면세),17kg
229-271-140-01,+별미/된장/14kg(면세),14kg*1
229-233-50-01,별미/이온물엿5kg,5kg*3
229-101-01-01,별미/종이컵,50ea*20줄
228-233-150-02,별표/조청물엿(황),15kg
228-233-150-01,별표/이온물엿/15kg,15kg
227-30-07-01,+보겔/렌지팝콘/B,700g*12
226-294-03-01,보라/봉골레파우더/300g,300g*6
226-190-10-01,+보라/볶음소금/1kg,1kg*20
225-284-10-01,보라티알 냉동/수지탈시금치뇨끼,1kg*10
225-135-30-01,보라티알/그린올리브/이바라,3kg*6
224-243-180-01,보해/매향/18L,18L
224-240-10-01,보해/매원,1.5L*8
223-213-09-01,+봉평/메밀부침가루(31%)/900g,900g*10ea
222-171-02-01,부강/시치미,240g*50
222-114-10-01,부강/마쓰야 모로미 미소1kg,1kg*10
222-06-10-01,부강/다시노모도,1kg*10
221-328-05-03,+부건/하나가스오부시 / 면세,500g*4
221-328-05-02,+부건/이도가스오부시,500g*4
221-328-05-01,+부건/가스오부시/500g(국물)8입,500g*8
220-207-04-01,부국/빙수제리/450g,450g*20
219-276-05-01,+부농원/단무지500g/압축(면세),500g*20
218-111-01-03,비욘드/니트릴장갑/L/파랑/100매,1box*10ea
218-111-01-02,비욘드/니트릴장갑/M/파랑/100매,1box*10ea
218-111-01-01,비욘드/니트릴장갑/S/파랑/100매,1box*10ea
217-197-10-01,사지앙/새우칩/1kg,1kg*12ea
216-190-10-01,산내들/구운소금/1kg,1kg*10
215-300-01-01,삼미/살사소스,1gal*4
215-287-04-01,삼미/나초칩,453g*12
215-238-10-01,삼미/허니머스타드(대),1.8L*6ea
215-238-09-02,삼미/디존머스타드/大,907g*6
215-238-09-01,삼미/홀그레인머스타드,963g*6
215-238-01-01,삼미/머스타드(대),1gAL*4
215-05-09-01,삼미/홀스레디시(6입),907g*6
214-79-10-01,삼조/파마산치즈가루,1kg*10
214-79-02-01,삼조/파마산치즈가루(중),227g*12
214-300-20-01,삼조/갈릭디핑소스/2kg*5,2kg
214-248-06-01,+삼조/마늘가루/그레뉼/650g,650g*6
214-203-10-01,삼조/비셰프사골분말,1kg*10
214-19-20-01,삼조/프리믹스-H/,2kg*10ea
214-181-10-01,삼조/스위트샤워믹스/1kg,1kg*10ea
214-149-05-01,+삼조/그레뇰레이티드양파/비셰,580g*6ea
213-161-05-01,상기/쌍노두(12입),500ml*12
212-314-30-01,새댁/고추씨기름/3.4L,3.4L*4
212-314-10-01,새댁/고추씨기름/1.5L,1.5L*8
211-314-150-01,새댁표/고추씨기름(말통),15L
210-240-10-01,생초당/산매실1.5L,1.5L*12
209-78-170-01,샤푸토/모짜렐라/17kg,17.85kg
208-146-05-01,+서강 연유크리밀/ 면세,500g*20
207-78-10-02,서울/업소용체다슬라이스치즈,1.8kg*4ea
207-78-10-01,서울/베이커리 롤치즈,1kg*5ea
207-78-01-01,서울/1800멀티치즈1,(25매*4팩)*4ea
207-50-10-01,서울/쿠킹크림1000,1L*12ea
207-218-04-02,서울/고소한버터450,450g*20ea
207-218-04-01,서울/곽버터/무염/450g20각,450g*20곽
207-210-10-02,+서울/탈지분유,1kg*10ea
207-210-10-01,+서울/전지분유/1kg,1kg*10ea
207-146-200-01,+서울연유말통,24kg
207-146-10-01,서울/연유블렌드/1.25kg,1.25kg*12
207-146-05-01,+서울/연유(튜브),500g*20ea
207-146-03-01,+서울연유/캔/375g,375g*30
206-90-10-02,선도/모밀쯔유,0.9L*10
206-90-10-01,선도/사누끼쯔유/1.8L,1.8L*8
205-325-10-01,선인/건조크랜베리/1kg,1kg*10ea
204-42-30-01,선한/토마토홀,3kg*6
204-167-50-01,선한/발사믹식초5L/레드/오탈리,5L*2
204-167-05-02,선한/와인식초(레드),500ml*12
204-167-05-01,선한/발사믹식초500/레드/오탈리,500ml*12
204-135-03-01,선한/그린올리브/병,300g*12
204-134-50-01,선한/주스올리브5L(버진),5L*4
204-134-10-02,선한/주스올리브1L포머스/터키,1L*12
204-134-10-01,선한/주스올리브1L(버진)/12입,1L*12입
203-319-30-01,설정/고구마다이스/3kg,3kg*6
203-202-30-01,설정/사과다이스,3kgx6
202-182-10-02,세미/망고스무디,1.81kg*6ea
202-182-10-01,세미/키위스무디/1.8k,1.8k*6
202-130-10-01,세미/요거트파우더,1kg*10
201-326-05-01,소연/감자전분/500g,500g*20
-201-10-01,칠성사이다1.25*12,1.25L*12
200-323-02-01,솔표/겨자,200g*50
200-321-02-01,솔표/계피,200g*50
200-199-01-01,솔표/산초/40g*100개,40g*100ea
200-133-02-01,솔표/와사비,200g*40
200-01-02-01,+솔표/후추,200g*50
199-92-10-01,송학/쫄면/판(냉장),1kg*10
19-86-10-01,삼포/참치1.8k,1.8kg*6
198-270-20-02,쉐프원/크리미양파드레싱/2kg,2kg*5
198-270-20-01,쉐프원/허니유자드레싱,2kg*5
198-168-180-01,쉐프원/식용유(18L),18L*1
197-35-01-01,+스위트웰/파슬리/100g,100g*12
197-25-02-01,+스위트웰/페페로치노홀,200g*12
196-309-10-02,스위트컵/레몬퓨레,1.8kg*6
196-309-10-01,스위트컵/청포도,1.8kg*6ea
196-280-10-01,스위트컵/오렌지농축액,1.8kg*6ea
194-133-07-01,승진/생와사비303/750g*12,750g*12ea
193-37-05-01,시아스/파기름,500ml*6
19-291-04-01,삼포/깐포도4호,400g*24
192-04-05-01,시아스/화유,500ml*6ea
191-151-20-01,시하/양송이특편,2840g*6
19-03-04-01,삼포/황도4호(슬),400g*24
190-15-30-01,신세계/생오이피클,3kg*6
189-190-200-01,+신안/굵은소금20kg/천일염,20kg*1
188-12-30-01,신화/할라피뇨,3kg*6
187-69-08-01,썬초이스/칵테일2호/12入,836g*12
187-33-08-01,썬초이스/시즌/파인애플2호,836g*12
185-300-01-01,아하/나초치즈소스,142g*2/24
185-287-04-01,아하/나초칩,453g*12
18-43-30-01,네슬레/토마토 수고/페이스트,3kg*6
184-218-04-01,앵커버터/무가염,454g*20
18-41-30-01,네슬레/쿨리토마토,3kg*6
183-172-10-01,양념감자시즈닝/치즈맛,1kg*20
18-300-10-01,네슬레/스촨소스(액상),1kg*6
18-298-08-01,네슬레/메기 씨즈닝,810ml*6
18-297-55-01,네슬레/메기치킨(액상)/5.5kg,5.5kg*2
18-297-10-01,네슬레/매기콘센트치킨(액상),1.2K*6
18-294-10-02,네슬레/메기비프/1.2kg,1.2kg*6
18-272-20-01,네슬레/메기데미글라스,2kg*6
182-203-05-01,양지뜰/사골분말,500g*10
181-148-05-01,어묵국물/스프,500g*20
180-217-10-01,에쓰푸드/베이컨스타일탑핑,1kg*10ea
180-13-01-01,+에쓰푸드/하몽/세라노슬라이스,120g*40
179-216-04-01,에이스/베이키드/아티아네,400g*24
178-164-04-01,에이치디/쌀국수1mm/스틱/장미,400g*30
177-311-02-01,엘막/레몬원액,200ml*30
17-69-30-01,돌(dole)/칵테일3K*6,3kg*6
176-67-200-01,+열매마을/캐슈넛(생)/인도산,22.68kg
176-209-10-02,+열매마을/호두분태,1kg*10
176-209-10-01,+열매마을/호두1/4태,1kg*10
176-159-10-02,+열매마을/아몬드(홀),1kg*10
176-159-10-01,+열매마을/아몬드슬라이스,1kg*10ea
175-311-02-01,영남레이지/라임원액/200ml/15입,200ml*15
175-310-10-01,영남/라임쥬스(레이지),1L*6
175-256-10-01,영남/레몬쥬스(레이지),1L*6
175-255-02-01,영남/레이지레몬/200ml,200ml*15
174-72-180-01,영미/카놀라유,18L
174-314-150-01,영미/고추씨기름15L/말통,15L
174-314-10-01,영미/고추씨기름1.8L,1.8L*8
174-300-20-01,영미/떡볶이소스,2kg*6
174-189-30-01,영미/소면/큰댁/3kg,3kg*4
174-134-02-01,영인/화이트트러플올리브,250ml*12
173-80-20-01,영화홀춘장,2.5kg*4
17-33-30-02,돌(dole)/파인애플3K*6,3062g*6
17-33-30-01,돌(dole)/파인청크대3K*6,3kg*6
173-06-05-01,영화/짬뽕다시,500g*10
172-217-10-01,오뗄/베이컨스타일칩/1kg,1kg*10ea
171-310-10-01,오션/스프레이루비레드 자몽쥬스,1.89L*8
171-310-01-01,오션/크런베리쥬스,3*6
170-60-01-01,오쉐프/토마토케찹(200입)9g,9g*200
170-300-100-01,오쉐프/닭강정소스/10kg,10kg
170-273-140-01,오쉐프/쫄깃한당면/14kg,14kg
170-204-80-01,오쉐프/빵가루,8kg*1
169-138-20-01,오씨아니/라리/옥수수3kg,2.95kg*6
168-97-05-01,오토/진강향초/500ml,500ml*12
167-328-05-01,+우도/이도가스오부시,500g*4
166-110-50-01,우림/사과쨈/5kg/파우치,5kg*3
166-110-30-02,우림/사과쨈,3kg*6
166-110-30-01,우림/딸기쨈,3kg*6
165-81-20-02,움트리/양념초장2.04kg,2.04kg*6
165-81-20-01,움트리/회초장/2kg,2kg*6ea
165-81-130-01,움트리/실장님회초장/13kg,13kg*1
165-327-10-01,움트리/실장님회간장,1950g*6
165-327-100-01,움트리/실장님회간장(10Kg),10kg*1
165-327-01-01,움트리/초밥간장/4g,4g*200*10
165-323-04-01,움트리/강겨자/튜브,410g*12ea
165-323-02-01,움트리/강겨자분,200g*40
165-300-09-01,움트리/해파리소스930,930g*10
165-139-30-01,움트리/옥수수전분/3kg,3kg*4
165-133-07-01,움트리/생와사비700g/냉동,700g*12
165-133-02-01,움트리/강와사비,200g*10*4
165-133-01-01,움트리/생와사비/1회용,(3g*200)*10
165-01-04-01,+움트리/백후추분,450g*20
164-192-180-01,웅진/오븐크리너,18kg
163-276-10-01,*원효/유자단무지(면세),1kg*10
163-200-40-01,원효/산고추/4Kg,4kg*5
163-200-05-01,원효/산고추/500g,500g*24
16-300-20-01,롯데/델리야끼소스,2kg*6
16-258-10-01,롯데/포크런천미트大/1.81kg,1810g*6
16-230-180-01,롯데 미림18L,18L*1
16-230-10-01,롯데/미림1.8L,1.8L*6
162-270-01-01,위시본/이탈리안드레싱,16oz*12
161-98-20-02,이금기/두반장/캔,2.04kg*6
161-98-20-01,이금기/해선장/병행,2.27kg*6
161-98-10-01,이금기/두반장/스파우트,1.9kg*6
161-98-03-02,이금기/두반장/병,368g*12
161-98-03-01,이금기/황두장,368g*12
16-168-180-01,롯데/식용유,18L
16-167-150-01,롯데/환만식초15L/말통,15L*1
16-167-10-01,롯데/환만식초/1.8L,1.8L*9
161-308-20-04,이금기/팬더굴소스캔2.27kg,2.27kg*6
161-308-20-03,이금기팬더굴소스2.4kg(pe),2.4kg
161-308-20-02,이금기/팬더굴소스/스파우트,2kg*6
161-308-20-01,이금기/프리미엄굴소스/파우치,2kg*6
161-308-05-02,이금기/프리미엄굴소스(중),510g*12
161-308-05-01,이금기/팬더굴소스(병)/510g,510g*12
161-308-02-02,이금기/프리미엄굴소스캔,2268g*6
161-308-02-01,이금기/프리미엄굴소스/255g,255g*12
161-300-05-01,이금기/쌍노두소스,500g*12
161-300-03-01,이금기/검은콩소스,368g*12
161-300-02-04,이금기/중화XO소스,220g*12
161-300-02-03,이금기/고추마늘소스,226g*12
161-300-02-02,이금기/마늘콩소스,226g*12
161-300-02-01,이금기/중화매실소스,260g*12
161-281-05-01,이금기/프리미엄 노추/500ml,500ml*12
161-227-10-01,이금기/치킨파우더/1kg,1Kg*12
160-74-03-01,이슬나라/칠리파우다/350g,350g*12
160-66-04-01,이슬/화이트캡사이신분말,400g*12
160-35-09-01,+이슬나라/파슬리/90g,90g*12
160-32-04-01,이슬/파프리카분말/400g,400g*12
160-301-04-01,이슬나라/스모크향분말,400g*12
160-300-100-03,이슬나라/떡갈비소스/10kg,10kg*2
160-300-100-02,이슬나라/바베큐소스/10kg,10kg*2
160-300-100-01,이슬나라/델리야끼소스/10kg,10kg*2ea
160-248-10-01,이슬나라/마늘가루/1Kg,1kg*10
160-248-04-01,이슬나라/마늘가루450g,450g*12
160-195-04-01,이슬/생강가루,450g*12
160-149-04-01,이슬나라/양파가루,450g*12ea
160-105-04-01,이슬나라/젤라틴,420g*24
160-01-04-01,+이슬나라/백후추분말/400g,400g*12ea
159-90-10-01,이엔/가쓰오풍쯔유,1.8*6
159-87-10-01,이엔/참치액,1.8L*6
159-82-10-03,이엔/초생강/적,1.3kg*10
159-82-10-02,이엔/초생강/백,1.3kg*10
